brand,name,release_year,accords,top_notes,middle_notes,base_notes
Maison Francis Kurkdjian,724,2022,aldehydic; white floral; musky; citrus; fresh; powdery; floral; sweet; fresh spicy; woody,Aldehydes; Calabrian bergamot,Egyptian Jasmine; Mock Orange; Sweet Pea,White Musk; Sandalwood
Maison Francis Kurkdjian,754,2012,floral; white floral; citrus; musky; fresh; powdery; sweet; green; woody; aromatic,Lemon,Lily-of-the-Valley; Sweet Pea; Freesia,White Musk; Sandalwood
Maison Francis Kurkdjian,A La Rose,2014,rose; floral; powdery; citrus; violet; musky; woody; fresh spicy,Calabrian bergamot; Litchi; Pear,Bulgarian Rose; Grasse Rose; Violet; Sweet Pea,Musk; Cedar
Maison Francis Kurkdjian,APOM,2024,white floral; sweet; musky; lavender; yellow floral; powdery; amber; vanilla; citrus; animalic,,,Orange Blossom; White Musk; Lavender; Ylang Ylang; Amber; Vanilla
Maison Francis Kurkdjian,APOM Pour Femme,2009,yellow floral; white floral; woody; sweet; citrus; soapy,,,Ylang-Ylang; African Orange Flower; Virginia Cedar
Maison Francis Kurkdjian,APOM Pour Femme Elixir,2009,white floral; yellow floral; woody; sweet; vanilla,Orange Blossom,Ylang-Ylang; Jasmine,Cedar; Vanilla; Tonka Bean
Maison Francis Kurkdjian,APOM Pour Homme,2009,white floral; amber; citrus; woody; animalic; sweet; soapy,,,African Orange Flower; Amber; Virginia Cedar
Maison Francis Kurkdjian,Absolue Pour Le Matin 2024,2024,powdery; citrus; aromatic; white floral; violet; woody; fresh spicy; fresh,Lemon,Orange Blossom; Violet; Thyme,Powdery Notes; Woody Notes
Maison Francis Kurkdjian,Absolue Pour Le Soir 2024,2024,amber; honey; sweet; fresh spicy; vanilla; animalic; floral; powdery; rose,Cumin,Honey; Labdanum; Rose,Amber; Vanilla
Maison Francis Kurkdjian,Absolue Pour le Matin,2010,citrus; aromatic; violet; powdery; fresh spicy; iris; lavender; floral; fresh,,,Amalfi Lemon; Iris; Violet; Lavender; Thyme; Bergamot; Neroli; Amber
Maison Francis Kurkdjian,Absolue Pour le Soir,2010,amber; honey; warm spicy; woody; smoky; balsamic; sweet; floral,,,White Honey; Incense; Benzoin; Sandalwood; Atlas Cedar; Ylang-Ylang; Rose; Cumin
Maison Francis Kurkdjian,Allegria,2013,white floral; fresh; citrus; floral; green; sweet; fruity; fresh spicy; yellow floral; violet,,,Lily-of-the-Valley; Pear; Lemon; Jasmine; Hyacinth; Ylang-Ylang; Bergamot; Violet; Amber
Maison Francis Kurkdjian,Amyris Femme,2012,woody; aromatic; citrus; iris; powdery; earthy; white floral; musky; balsamic; violet,Lemon Blossom; California Orange,Amyris; Iris,Vetiver; Musk; Amber
Maison Francis Kurkdjian,Amyris Femme Extrait de Parfum,2019,white floral; woody; iris; citrus; fruity; powdery; aromatic,,,Mandarin Blossom; Egyptian Jasmine; Amyris; Tuscan Iris; Pear; Woody Notes; Amber
Maison Francis Kurkdjian,Amyris Homme,2012,aromatic; woody; citrus; sweet; vanilla; iris; fresh spicy; balsamic; warm spicy; amber,Sicilian Mandarin; Rosemary,Amyris; Iris; Milk Chocolate; Coconut; Coffee,Tonka Bean; Agarwood (Oud)
Maison Francis Kurkdjian,Amyris Homme Extrait de Parfum,2019,vanilla; woody; aromatic; warm spicy; citrus; iris; powdery; balsamic; sweet; cinnamon,,,Amyris; Tonka Bean; Vanilla; Sicilian Mandarin; Tuscan Iris; Ceylon Cinnamon; Saffron
Maison Francis Kurkdjian,Aqua Celestia,2017,green; citrus; musky; aromatic; powdery; fresh spicy; fruity; floral; yellow floral; sweet,Lime; Mint; Black Currant; Neroli,Green Notes; Mimosa; Rose,White Musk
Maison Francis Kurkdjian,Aqua Celestia Cologne Forte,2021,fruity; citrus; musky; powdery; floral; fresh spicy; aromatic; white floral; yellow floral; woody,Black Currant; Bergamot,Jasmine; Mimosa,Musk
Maison Francis Kurkdjian,Aqua Celestia Forte,2018,citrus; green; aromatic; white floral; floral; fresh; fresh spicy; musky; powdery; sweet,Lime; Petitgrain; Lemon; Mint,Black Currant Blossom; Jasmine; Hedione; Mimosa; Lily-of-the-Valley,Musk
